pH,SOC,Nitrogen,Potassium,Phosphorus,Sulfur,Boron,Zinc,Sand,Silt,Clay
4.6,1.59,0.09,0.12,16.0,7.1,0.3,1.68,40.0,40.0,20.0
5.7,2.56,0.09,0.75,6.49228,7.98604,0.44,2.25,40.0,40.0,20.0
5.5,1.6,0.09,0.18,6.49228,7.98604,0.3,1.55,40.0,40.0,20.0
4.8,2.11,0.1,0.38,6.49228,9.4,0.24,1.89,40.0,40.0,20.0
4.8,1.48,0.1,0.14,6.49228,7.6,0.31,1.24,40.0,40.0,20.0
4.5,1.46,0.13,0.14,17.1,12.7,0.2,0.72,40.0,40.0,20.0
5.0,2.31,0.17,0.09,4.4,17.2,0.35,1.03,40.0,40.0,20.0
4.9,2.06,0.1,0.12,6.49228,1.8,0.28,1.36,40.0,40.0,20.0
4.3,1.36,0.07,0.33,11.0,5.2,0.2,0.78,40.0,40.0,20.0
4.5,1.49,0.11,0.2,6.49228,13.1,0.0882928,0.94,40.0,40.0,20.0
5.2,2.0,0.12,0.0,9.6,14.7,0.25,0.98,40.0,40.0,20.0
4.5,1.84,0.12,0.17,6.1,5.0,0.24,1.03,40.0,40.0,20.0
4.8,2.66,0.12,0.15,20.0,10.1,0.21,0.86,40.0,40.0,20.0
4.9,2.25,0.09,0.11,6.49228,8.4,0.3,1.53,40.0,40.0,20.0
5.1,1.89,0.09,0.12,4.6,6.8,0.28,0.79,40.0,40.0,20.0
5.0,2.0,0.13,0.15,15.8,7.98604,0.43,1.7,40.0,40.0,20.0
4.7,1.06,0.09,0.15,7.9,3.8,0.3,1.05,40.0,40.0,20.0
4.8,1.46,0.11,0.16,13.6,4.2,0.31,1.01,40.0,40.0,20.0
4.7,1.56,0.08,0.19,8.8,1.8,0.26,1.41,40.0,40.0,20.0
4.5,2.2,0.1,0.07,6.49228,4.4,0.21,1.36,40.0,40.0,20.0
4.8,1.02,0.07,0.12,18.3,2.9,0.2,0.51,40.0,40.0,20.0
4.5,1.46,0.13,0.16,6.49228,11.2,0.2,0.63,40.0,40.0,20.0
5.1,2.25,0.1,0.12,7.0,2.9,0.27,0.93,40.0,40.0,20.0
5.8,1.69,0.1,0.08,4.5,3.1,0.2,0.78,40.0,40.0,20.0
6.0,1.73,0.09,0.6,5.6,0.65,0.22,0.51,40.0,40.0,20.0
4.5,2.21,0.13,0.36,6.49228,7.98604,0.3,0.98,40.0,40.0,20.0
5.2,2.19,0.11,0.08,8.4,1.2,0.21,0.64,40.0,40.0,20.0
5.2,1.78,0.1,0.15,6.49228,10.9,0.3,1.15,40.0,40.0,20.0
5.2,1.94,0.07,0.26,6.49228,2.4,0.28,1.72,40.0,40.0,20.0
5.0,1.38,0.06,0.22,6.49228,3.6,0.2,1.93,40.0,40.0,20.0
4.8,1.0,0.06,0.27,21.9,5.8,0.24,0.66,40.0,40.0,20.0
4.7,0.98,0.07,0.34,6.49228,8.4,0.21,0.62,40.0,40.0,20.0
5.0,1.32,0.09,0.24,14.3,11.4,0.3,0.61,40.0,40.0,20.0
6.0,0.82,0.1,0.22,18.1,18.6,0.26,0.43,40.0,40.0,20.0
5.1,1.62,0.11,0.23,7.7,8.3,0.3,0.63,40.0,40.0,20.0
4.3,1.83,0.09,0.17,23.8,4.17,0.2,1.41,40.0,40.0,20.0
4.9,2.93,0.09,0.09,3.9,16.3,0.28,1.14,40.0,40.0,20.0
5.0,1.92,0.1,0.11,9.9,12.8,0.22,1.19,40.0,40.0,20.0
4.7,2.55,0.09,0.12,5.7,7.1,0.2,1.13,40.0,40.0,20.0
5.4,2.12,0.09,0.13,6.9,7.98604,0.31,1.14,40.0,40.0,20.0
5.0,2.33,0.08,0.13,3.0,11.0,0.27,0.75,40.0,40.0,20.0
4.9,2.48,0.08,0.11,6.6,13.4,0.3,0.8,40.0,40.0,20.0
4.7,2.29,0.09,0.12,7.6,19.4,0.2,1.34,40.0,40.0,20.0
5.0,2.37,0.1,0.13,6.49228,15.3,0.25,0.91,40.0,40.0,20.0
5.1,2.28,0.08,0.6,6.49228,7.98604,0.35,1.26,40.0,40.0,20.0
5.0,2.5,0.09,0.27,15.6,15.9,0.32,1.71,40.0,40.0,20.0
4.6,2.59,0.08,0.21,6.49228,10.2,0.2,0.92,40.0,40.0,20.0
4.7,2.23,0.09,0.27,6.49228,15.2,0.23,1.68,40.0,40.0,20.0
4.9,1.94,0.1,0.09,6.6,7.98604,0.26,1.01,40.0,40.0,20.0
5.9,2.66,0.1,0.14,9.7,7.98604,0.31,0.8,40.0,40.0,20.0
4.5,1.7,0.1,0.13,6.4,5.7,0.25,1.02,40.0,40.0,20.0
4.8,2.41,0.09,0.09,4.0,12.6,0.27,0.95,40.0,40.0,20.0
5.4,2.83,0.1,0.29,8.1,7.98604,0.43,1.02,40.0,40.0,20.0
